date,open,high,low,close,volume,ticker,ma5,ma20,ma60,macd,macd_signal,macd_hist,rsi14,bb_width,bb_pct,atr14,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_lag20,vol_ratio,pct_from_52w_high,stock_id,static_cap,sbv_rate,cal_day_of_week,cal_month,cal_day_of_month,cal_is_month_end,cal_is_qtr_end,cal_is_tet,cal_is_tet_pre,cal_rate_month,VNINDEX_close,usd_vnd,gold_vnd_per_gram,cross_HDB_lag1,cross_HDB_lag2,cross_TCB_lag1,cross_TCB_lag2,cross_TPB_lag1,cross_TPB_lag2,split
1/23/2019,6102,6163,6092,6102,3925005,HDB,6010.2973,5912.4139,5912.4139,78.3822,54.7231,23.6591,74.0259,0.074,0.9329,114.0461,-0.0033,0.0117,0.0305,0.027,0.0374,,0.5349,,0,1,6.5,2,1,23,0,0,0,1,0,910,23194,956813,6122.1641,6030.6367,12266.2148,12540.8311,6513.7261,6513.7261,train
1/24/2019,6102,6132,6041,6092,5191582,HDB,6053.0101,5922.9575,5922.9575,82.9202,60.3625,22.5577,65.5737,0.0773,0.8683,106.0556,-0.0017,-0.005,0.0101,0.0357,0.0322,,0.72,,0,1,6.5,3,1,24,0,0,0,1,0,910,23194,953830,6101.8247,6122.1641,12151.791,12266.2148,6761.8677,6513.7261,train
1/25/2019,6102,6122,6061,6092,6228702,HDB,6087.587,5932.3296,5932.3296,85.5307,65.3961,20.1346,67.7965,0.0796,0.8376,95.8859,0,-0.0017,-0.005,0.0288,0.0254,,0.8704,,0,1,6.5,4,1,25,0,0,0,1,0,910,23194,967476,6091.6548,6101.8247,12197.5596,12151.791,6591.2705,6761.8677,train
1/28/2019,6092,6122,6061,6102,5199980,HDB,6101.8246,5941.2504,5941.2504,87.4125,69.7994,17.6131,78.846,0.0815,0.8316,86.4426,0.0017,0.0017,0,0.0117,0.0305,,0.7372,,0,1,6.5,0,1,28,0,0,0,1,0,910,22733.1992,951910,6091.6548,6091.6548,12197.5596,12197.5596,6560.2524,6591.2705,train
1/29/2019,6102,6112,6071,6102,5465753,HDB,6097.7567,5949.2791,5949.2791,87.8908,73.4177,14.4731,74.9999,0.0828,0.8096,80.6314,0,0.0017,0.0017,-0.0033,0.027,,0.7837,-0.0033,0,1,6.5,1,1,29,0,0,0,1,0,920,23194,975530,6101.8247,6091.6548,11991.5977,12197.5596,6529.2349,6560.2524,train
1/30/2019,6102,6112,6071,6102,4005569,HDB,6097.7567,5967.5846,5956.5432,87.2638,76.1869,11.0769,73.8094,0.0783,0.7873,80.6313,0,0,0.0017,0,0.027,0.0619,0.5716,-0.0033,0,1,6.5,2,1,30,0,0,0,1,0,920,23194,976798,6101.8247,6101.8247,12128.9062,11991.5977,6420.6729,6529.2349,train
1/31/2019,6122,6204,6122,6204,3518315,HDB,6120.1302,5991.4834,5967.7695,93.8908,79.7277,14.1631,77.0832,0.0758,0.9669,79.9049,0.0165,0.0165,0.0165,0.0182,0.0539,0.0802,0.5098,0,0,1,6.5,3,1,31,1,0,0,1,0,910,23194,984105,6101.8247,6101.8247,12174.6758,12128.9062,6482.708,6420.6729,train
2/1/2019,6204,6224,6163,6204,10781417,HDB,6142.5036,6006.738,5978.0196,98.0128,83.3847,14.6281,80.4347,0.0803,0.9077,76.9993,0,0.0165,0.0165,0.0182,0.047,0.0504,1.5412,0,0,1,6.5,4,2,1,0,0,0,1,0,910,23203,982398,6203.522,6101.8247,12128.9062,12174.6758,6451.6904,6482.708,train
2/11/2019,6224,6244,6183,6234,5306887,HDB,6168.9448,6024.535,5988.6867,102.5592,87.2196,15.3396,80.8509,0.0842,0.9131,76.9993,0.0049,0.0049,0.0214,0.0214,0.0332,0.0588,0.7482,0,0,1,6.5,0,2,11,0,0,0,0,0,930,22862.6992,960713,6203.522,6203.522,12449.292,12128.9062,6498.2173,6451.6904,train
2/12/2019,6234,6366,6224,6326,8718532,HDB,6213.6915,6050.9762,6002.1616,112.2537,92.2264,20.0273,83.9284,0.0871,1.0208,82.8105,0.0146,0.0195,0.0195,0.036,0.0327,0.0873,1.2124,0,0,1,6.5,1,2,12,0,0,0,0,0,940,23203,976654,6234.0308,6203.522,12380.6377,12449.292,6591.2705,6498.2173,train
